customer_id,first_name,last_name,email,phone,city,registration_date,loyalty_tier,birth_year
2042,Merike,Laas,merike.laas@hot.ee,+372 5919 4009,Tartu,2024-03-29,bronze,2003
2043,Ülle,Lass,ulle.lass@telia.ee,+372 5293 4910,Tallinn,2025-02-07,,1966
2044,Lauri,Aas,lauri.aas@outlook.com,+372 5331 9744,Tallinn,2021-05-11,bronze,1965
2045,Indrek,Kuusk,indrek.kuusk@telia.ee,+372 8624 4426,Tartu,2022-03-22,,1970
2046,Henri,Lepik,henri.lepik@telia.ee,+372 8558 9381,Tartu,2020-02-15,,1970
2047,Ants,Lepp,ants.lepp@yahoo.com,+372 5122 0970,Tallinn,2023-11-02,,1979
2048,Mart,Mets,mart.mets@outlook.com,+372 8486 3925,Tartu,2023-12-27,bronze,1988
2049,Raivo,Salu,raivo.salu@yahoo.com,+372 8690 1476,Haapsalu,2021-12-14,,2000
2050,Tiina,Toom,,+372 5127 6422,Paide,2023-07-14,gold,1986
2051,Ene,Arro,,+372 5974 6112,Tallinn,2023-05-22,gold,1992
2052,Annika,Järv,annika.jarv@hot.ee,+372 8533 9583,Tartu,2023-09-05,bronze,1966
2053,Sigrid,Vaher,sigrid.vaher@yahoo.com,+372 5199 1707,Tallinn,2020-12-27,,1977
2054,Aili,Veski,aili.veski@mail.ee,+372 5588 4718,Pärnu,2023-01-07,,1991
2055,Rain,Salu,rain.salu@gmail.com,+372 5410 5150,Jõhvi,2024-02-26,bronze,1971
2056,Hille,Kull,hille.kull@yahoo.com,+372 5542 9950,Narva,2023-12-09,bronze,1975
2057,Tõnu,Saar,tonu.saar@mail.ee,+372 8394 3117,Tallinn,2024-11-06,,1982
2058,Laura,Vaher,laura.vaher@telia.ee,+372 5110 4044,Tartu,2024-02-25,bronze,2001
2059,Tiina,Järv,tiina.jarv@telia.ee,+372 5582 2155,Tallinn,2022-02-20,silver,1992
2060,Enn,Puusepp,enn.puusepp@gmail.com,+372 8551 5232,Tartu,2021-03-17,gold,1982
2061,Toomas,Rosin,toomas.rosin@gmail.com,+372 8568 0927,Paide,2020-04-16,gold,1964
2062,Triin,Lill,triin.lill@mail.ee,+372 5133 7031,Viljandi,2023-11-26,gold,1983
2063,Jüri,Roots,juri.roots@gmail.com,+372 5515 7525,Tallinn,2022-04-23,,1962
2064,Väino,Kuusik,vaino.kuusik@hot.ee,+372 5456 6379,Tartu,2023-07-17,gold,1985
2065,Priit,Tammik,priit.tammik@telia.ee,+372 8578 7870,Tallinn,2023-05-02,gold,2002
2066,Lauri,Paju,lauri.paju@telia.ee,+372 5203 0440,Valga,2023-02-23,bronze,1996
2067,Marko,Pärn,marko.parn@hot.ee,+372 5381 5096,Rakvere,2020-12-16,gold,1993
2068,Ülle,Valk,ulle.valk@outlook.com,+372 8907 7546,Pärnu,2021-06-21,silver,2004
2069,Erkki,Luik,erkki.luik@yahoo.com,+372 5430 1511,Paide,2022-12-07,gold,1996
2070,Pille,Rebane,pille.rebane@gmail.com,+372 5724 8235,Haapsalu,2021-06-22,bronze,1998
2071,Tarmo,Põld,tarmo.pold@outlook.com,+372 5329 9544,Tartu,2023-06-12,,1983
2072,Heino,Tammik,,+372 5809 7655,Tallinn,2022-04-01,silver,1997
2073,Madis,Roots,madis.roots@mail.ee,+372 5235 7953,Valga,2020-02-08,bronze,2005
2074,Kalev,Raud,kalev.raud@hot.ee,+372 8244 8155,Tartu,2021-02-18,gold,2004
2075,Piret,Lõoke,piret.looke@outlook.com,+372 5989 9847,Kuressaare,2020-12-31,,1992
2076,Terje,Nurk,terje.nurk@hot.ee,+372 5576 1836,Kuressaare,2023-08-21,silver,1988
2077,Siim,Must,siim.must@outlook.com,+372 5869 4963,Tallinn,2021-03-03,silver,1998
2078,Aili,Paas,aili.paas@yahoo.com,+372 5648 3852,Tallinn,2021-10-31,gold,1972
2079,Tiit,Talvik,tiit.talvik@gmail.com,+372 8546 7077,Tartu,2024-03-08,silver,1997
2080,Tiina,Kangur,tiina.kangur@gmail.com,+372 5232 6471,Tartu,2021-06-21,gold,2004
2081,Kaido,Lass,kaido.lass@telia.ee,+372 5499 7023,Tartu,2021-03-28,,2005
2082,Kristi,Rebane,kristi.rebane@hot.ee,+372 8518 5264,Võru,2023-08-08,bronze,1990
2083,Heino,Kuusk,heino.kuusk@mail.ee,+372 5269 1935,Valga,2024-02-14,bronze,2004
2084,Grete,Must,grete.must@yahoo.com,+372 5927 5478,Tallinn,2021-04-17,gold,1973
2085,Henri,Lill,henri.lill@gmail.com,+372 5564 0190,Tartu,2022-01-04,gold,1985
2086,Kati,Kangur,kati.kangur@yahoo.com,+372 8912 3774,Tallinn,2024-12-21,bronze,1977
2087,Taavi,Sepp,taavi.sepp@telia.ee,+372 5208 8747,Tallinn,2021-12-05,gold,1975
2088,Pille,Paas,,+372 8288 0827,Tartu,2023-07-16,silver,1973
2089,Lea,Pärn,lea.parn@gmail.com,+372 5414 9061,Tartu,2024-06-25,,1996
2090,Taavi,Koppel,taavi.koppel@yahoo.com,+372 5773 9970,Tartu,2021-03-23,gold,1973
2091,Rasmus,Mägi,rasmus.magi@mail.ee,+372 5737 0245,Pärnu,2024-06-14,bronze,1961
2092,Ene,Pihl,ene.pihl@telia.ee,+372 8700 6461,Tartu,2024-01-04,bronze,1976
2093,Merike,Luik,merike.luik@gmail.com,+372 5879 2212,Tartu,2023-01-25,,1960
2094,Pille,Must,pille.must@telia.ee,+372 5305 7043,Tallinn,2024-12-17,,1999
2095,Madis,Lill,madis.lill@telia.ee,+372 5401 9865,Kuressaare,2020-02-19,gold,1994
2096,Reet,Laas,reet.laas@gmail.com,+372 5169 4265,Viljandi,2020-01-11,gold,1994
2097,Kati,Aas,kati.aas@telia.ee,+372 5759 3173,Valga,2022-07-26,silver,2000
2098,Karin,Rebane,karin.rebane@hot.ee,+372 5802 1459,Tallinn,2024-01-17,,1982
2099,Madis,Toom,madis.toom@gmail.com,+372 5344 0824,Kuressaare,2023-03-16,silver,1990
2100,Rein,Arro,rein.arro@hot.ee,+372 5971 9753,Tartu,2020-09-28,gold,2004
2101,Marko,Mägi,marko.magi@yahoo.com,+372 8931 8508,Tallinn,2021-06-22,gold,1985
2102,Terje,Kukk,terje.kukk@yahoo.com,+372 5767 6338,Tallinn,2024-11-01,,1999
2103,Kadri,Kivi,kadri.kivi@gmail.com,+372 5729 3115,Tallinn,2020-10-13,gold,2003
2104,Sandra,Lass,sandra.lass@mail.ee,+372 5281 4518,Tallinn,2020-09-04,gold,1973
2105,Indrek,Sild,indrek.sild@mail.ee,+372 5740 2929,Valga,2024-12-14,,1969
2106,Arvo,Kull,arvo.kull@hot.ee,+372 5453 7506,Jõhvi,2021-07-10,,1969
2107,Heino,Rosin,,+372 8149 9823,Tallinn,2024-04-14,bronze,1975
2108,Väino,Nurk,vaino.nurk@mail.ee,+372 5875 0508,Tartu,2022-08-12,bronze,1966
2109,Toomas,Männik,toomas.mannik@telia.ee,+372 5241 9493,Tallinn,2024-06-06,bronze,1964
2110,Kristi,Talvik,kristi.talvik@outlook.com,+372 8861 7656,Tartu,2022-06-16,bronze,1987
2111,Urmas,Rand,,+372 5119 8966,Kuressaare,2023-09-04,bronze,1968
2112,Madis,Salu,,+372 8118 2947,Haapsalu,2022-12-14,bronze,1985
2113,Lea,Kangur,lea.kangur@yahoo.com,+372 5576 4894,Tallinn,2021-02-17,gold,1996
2114,Kristi,Lill,kristi.lill@yahoo.com,+372 5976 8988,Narva,2022-09-26,bronze,1961
2115,Anu,Sild,anu.sild@yahoo.com,+372 8662 1567,Haapsalu,2022-11-01,silver,1991
2116,Marko,Orav,,+372 5114 9646,Paide,2025-01-12,,1980
2117,Merike,Koppel,merike.koppel@outlook.com,+372 8685 2998,Tallinn,2023-05-11,,1960
2118,Rasmus,Sepp,rasmus.sepp@gmail.com,+372 8258 5466,Tallinn,2023-01-22,bronze,1965
2119,Meelis,Ilves,meelis.ilves@gmail.com,+372 8722 5280,Tallinn,2022-07-28,silver,1972
2120,Grete,Kukk,grete.kukk@hot.ee,+372 8598 3456,Valga,2022-07-05,,1961
2121,Katrin,Roots,katrin.roots@gmail.com,+372 5397 9270,Tallinn,2023-07-12,,1969
2122,Sander,Nõmm,sander.nomm@mail.ee,+372 5601 2792,Tartu,2020-02-12,gold,1976
2123,Peeter,Veski,peeter.veski@outlook.com,+372 8136 8711,Tallinn,2023-04-27,,1962
2124,Mart,Rebane,mart.rebane@telia.ee,+372 5799 9521,Tallinn,2020-04-07,bronze,1999
2125,Lauri,Lõhmus,lauri.lohmus@gmail.com,+372 5906 5729,Tallinn,2024-08-23,bronze,1999
2126,Terje,Kangur,terje.kangur@yahoo.com,+372 5738 6299,Pärnu,2024-04-30,,1975
2127,Karin,Männik,karin.mannik@gmail.com,+372 5171 3304,Tallinn,2021-10-16,silver,1970
2128,Kristi,Kuusk,kristi.kuusk@gmail.com,+372 5709 8624,Tartu,2021-01-05,gold,1964
2129,Anu,Oja,anu.oja@mail.ee,+372 8571 8445,Tallinn,2021-02-20,,2004
2130,Marko,Kaalep,marko.kaalep@mail.ee,+372 8889 4959,Tallinn,2022-06-01,bronze,2005
2131,Elis,Põld,elis.pold@hot.ee,+372 8422 8573,Tallinn,2024-11-22,,1977
2132,Sigrid,Paas,sigrid.paas@gmail.com,+372 5715 5610,Paide,2021-03-30,silver,1969
2133,Margus,Roots,margus.roots@mail.ee,+372 8729 3324,Tallinn,2023-12-09,bronze,1996
2134,Jaak,Kangur,jaak.kangur@mail.ee,+372 5664 6269,Viljandi,2023-08-02,silver,1979
2135,Merle,Järv,merle.jarv@hot.ee,+372 5139 6924,Tartu,2024-11-07,bronze,2003
2136,Hille,Nõmm,hille.nomm@mail.ee,+372 8617 5027,Tallinn,2021-03-12,silver,1995
2137,Margus,Kallas,margus.kallas@telia.ee,+372 5420 4020,Tartu,2021-04-05,,1980
2138,Kersti,Kask,kersti.kask@telia.ee,+372 8584 7823,Tallinn,2025-02-23,bronze,1993
2139,Grete,Luik,grete.luik@mail.ee,+372 8599 0202,Rakvere,2023-06-18,,1972
2140,Henri,Salu,henri.salu@mail.ee,+372 8510 7220,Tartu,2024-11-11,bronze,1975
2141,Aivar,Lepik,aivar.lepik@mail.ee,+372 8827 9138,Kuressaare,2022-04-14,,1994
2142,Henri,Mitt,henri.mitt@telia.ee,+372 5994 3161,Tartu,2020-02-19,silver,1962
2143,Piret,Nõmm,piret.nomm@hot.ee,+372 5963 1690,Narva,2020-09-16,silver,1971
2144,Priit,Orav,priit.orav@telia.ee,+372 5747 1562,Narva,2024-07-30,,1985
2145,Triin,Männik,triin.mannik@telia.ee,+372 8739 1884,Valga,2021-06-09,,2004
2146,Eha,Luik,eha.luik@telia.ee,+372 5119 7750,Haapsalu,2024-09-07,bronze,1990
2147,Anna,Sepp,anna.sepp@outlook.com,+372 8152 2970,Tallinn,2024-07-08,silver,1988
2148,Madis,Lass,madis.lass@telia.ee,+372 5998 8801,Rakvere,2024-11-11,bronze,1991
2149,Ago,Rand,ago.rand@yahoo.com,+372 5680 4493,Pärnu,2021-07-30,gold,1985
2150,Külli,Talvik,kulli.talvik@telia.ee,+372 5118 9029,Paide,2024-11-25,,1970
2151,Tõnu,Valk,,+372 5171 2151,Pärnu,2024-01-27,,1983
2152,Margus,Kukk,margus.kukk@hot.ee,+372 5391 1046,Pärnu,2024-11-20,bronze,1998
2153,Maie,Roots,maie.roots@hot.ee,+372 5391 8633,Pärnu,2022-11-23,,1999
2154,Annika,Saar,annika.saar@telia.ee,+372 8171 9699,Viljandi,2021-08-05,gold,1964
2155,Siim,Männik,siim.mannik@hot.ee,+372 5653 2400,Tartu,2024-08-30,silver,1978
2156,Rasmus,Rosin,rasmus.rosin@hot.ee,+372 5590 2916,Tallinn,2020-09-29,,1971
2157,Raivo,Salu,raivo.salu2@yahoo.com,+372 5980 8899,Tartu,2023-08-06,,1996
2158,Rein,Kull,rein.kull@telia.ee,+372 5629 8741,Haapsalu,2023-12-13,,1963
2159,Rein,Luik,,+372 5309 0726,Kuressaare,2020-01-19,,1996
2160,Rein,Sild,rein.sild@hot.ee,+372 8445 3307,Haapsalu,2021-12-03,,1977
2161,Arvo,Mägi,arvo.magi@outlook.com,+372 5638 3174,Tallinn,2024-11-24,,1993
2162,Ants,Kangur,ants.kangur@telia.ee,+372 8663 9328,Tallinn,2024-08-18,,1960
2163,Kadri,Kull,kadri.kull@hot.ee,+372 8816 7765,Viljandi,2021-03-18,,1984
2164,Kadri,Saar,kadri.saar@hot.ee,+372 8824 5879,Narva,2023-09-25,silver,1984
2165,Rain,Luik,rain.luik@telia.ee,+372 5343 6808,Tartu,2020-11-23,,1992
2166,Indrek,Järv,indrek.jarv@telia.ee,+372 5604 9221,Tartu,2024-06-29,bronze,1969
2167,Ants,Kaalep,,+372 5754 2584,Tallinn,2022-05-15,bronze,2002
2168,Priit,Luik,priit.luik@outlook.com,+372 5713 8612,Tallinn,2020-03-28,silver,2004
2169,Henri,Kangur,henri.kangur@mail.ee,+372 5103 7400,Tallinn,2023-04-10,gold,1992
2170,Lea,Aas,lea.aas@hot.ee,+372 5900 3376,Pärnu,2024-05-07,,1973
2171,Peeter,Nõmm,peeter.nomm@hot.ee,+372 5868 5229,Tallinn,2022-06-30,,1988
2172,Eha,Kivi,eha.kivi@hot.ee,+372 8826 2105,Tallinn,2020-04-08,silver,1985
2173,Heli,Mets,heli.mets@yahoo.com,+372 5248 9061,Tartu,2024-11-02,,1998
2174,Piret,Kask,piret.kask@telia.ee,+372 8529 5792,Jõhvi,2023-01-11,bronze,1984
2175,Olev,Kull,olev.kull@hot.ee,+372 8266 5120,Valga,2021-09-01,,1990
2176,Sandra,Pihl,sandra.pihl@mail.ee,+372 5789 0040,Haapsalu,2020-07-12,gold,2004
2177,Reet,Liiv,reet.liiv@telia.ee,+372 5225 5120,Pärnu,2023-06-08,silver,2003
2178,Karin,Oja,karin.oja@mail.ee,+372 5343 5328,Tallinn,2023-01-28,silver,2005
2179,Piret,Must,piret.must@yahoo.com,+372 5909 1794,Tartu,2020-07-14,gold,1998
2180,Sirje,Kangur,sirje.kangur@outlook.com,+372 5858 4720,Rakvere,2023-02-11,bronze,2000
2181,Erkki,Lass,erkki.lass@gmail.com,+372 5109 6404,Tartu,2021-06-29,gold,1978
2182,Jaak,Kallas,jaak.kallas@hot.ee,+372 5499 6869,Tallinn,2024-04-14,bronze,1986
2183,Kevin,Puusepp,kevin.puusepp@yahoo.com,+372 8580 8273,Tallinn,2023-01-16,bronze,1981
2184,Ragnar,Kõiv,ragnar.koiv@yahoo.com,+372 5508 6397,Valga,2022-07-30,,1966
2185,Madis,Lõoke,,+372 8721 1894,Tallinn,2023-12-21,bronze,1970
2186,Triin,Tamm,triin.tamm@mail.ee,+372 5267 6016,Tallinn,2020-05-04,gold,1996
2187,Aili,Paas,aili.paas@outlook.com,+372 5390 9516,Narva,2022-06-06,bronze,1990
2188,Anna,Nõmm,anna.nomm@mail.ee,+372 5146 6687,Narva,2023-08-08,gold,1972
2189,Toomas,Koppel,toomas.koppel@outlook.com,+372 8729 8114,Jõhvi,2022-01-19,,2005
2190,Väino,Mitt,vaino.mitt@yahoo.com,+372 5609 0658,Tartu,2023-05-28,gold,1989
2191,Mihkel,Pihl,mihkel.pihl@hot.ee,+372 5340 5326,Tallinn,2022-10-02,silver,1975
2192,Marit,Talvik,marit.talvik@mail.ee,+372 5189 5915,Kuressaare,2020-02-08,,1988
2193,Urmas,Toom,urmas.toom@yahoo.com,+372 5509 4431,Tallinn,2022-04-03,bronze,1983
2194,Pille,Puusepp,,+372 5606 3509,Tallinn,2025-02-14,,1991
2195,Kersti,Mets,kersti.mets@gmail.com,+372 5979 8532,Tallinn,2021-04-30,gold,1988
2196,Marika,Must,marika.must@outlook.com,+372 8857 4778,Pärnu,2024-12-24,,1968
2197,Sandra,Nõmm,sandra.nomm@yahoo.com,+372 5761 9083,Valga,2022-02-23,,2002
2198,Ülle,Põld,ulle.pold@mail.ee,+372 5118 1864,Tallinn,2021-08-22,,1972
2199,Riina,Luik,riina.luik@mail.ee,+372 5839 8084,Pärnu,2023-08-17,silver,1970
2200,Urmas,Laas,urmas.laas@outlook.com,+372 5693 3170,Tartu,2022-10-22,,1985
2201,Kevin,Pihl,kevin.pihl@gmail.com,+372 5129 1969,Tartu,2020-02-29,gold,1970
2202,Indrek,Org,indrek.org@yahoo.com,+372 5678 1013,Tallinn,2021-02-22,,1991
2203,Ago,Kukk,,+372 5668 0293,Pärnu,2020-08-09,silver,1976
2204,Ene,Org,ene.org@outlook.com,+372 5754 0430,Tartu,2024-03-08,bronze,1994
2205,Liina,Kivi,,+372 5586 7275,Tallinn,2021-08-04,gold,1979
2206,Ago,Lõoke,,+372 5135 5389,Viljandi,2020-01-20,,1961
2207,Kalev,Mägi,kalev.magi@yahoo.com,+372 8895 2450,Viljandi,2021-07-03,gold,2003
2208,Rasmus,Rand,rasmus.rand@mail.ee,+372 5580 6096,Tallinn,2021-10-20,silver,1970
2209,Kersti,Ilves,kersti.ilves@telia.ee,+372 5557 9727,Tallinn,2023-01-06,silver,1997
2210,Ülle,Kaalep,ulle.kaalep@mail.ee,+372 5936 2905,Valga,2022-11-28,gold,1996
2211,Kevin,Pihl,kevin.pihl2@gmail.com,+372 5979 4589,Tallinn,2021-12-16,bronze,1998
2212,Henri,Roots,,+372 8641 8270,Pärnu,2020-04-14,gold,1988
2213,Pille,Veski,,+372 5699 3149,Rakvere,2020-03-15,,1971
2214,Maris,Lepp,maris.lepp@telia.ee,+372 5203 8582,Võru,2022-07-22,silver,1969
2215,Karin,Kaalep,karin.kaalep@gmail.com,+372 8488 0716,Tallinn,2020-06-19,gold,1970
2216,Mihkel,Org,mihkel.org@telia.ee,+372 5539 5996,Pärnu,2023-08-20,gold,1985
2217,Aivar,Paas,aivar.paas@telia.ee,+372 5931 2062,Tallinn,2022-10-21,gold,1972
2218,Riina,Lepp,riina.lepp@outlook.com,+372 8614 8213,Paide,2021-09-27,,1971
2219,Arvo,Tammik,arvo.tammik@outlook.com,+372 5878 9016,Narva,2024-08-24,silver,1996
2220,Reet,Lepp,reet.lepp@outlook.com,+372 5795 4198,Rakvere,2022-01-14,gold,1972
2221,Riina,Lill,riina.lill@mail.ee,+372 5499 5996,Pärnu,2021-10-02,,2000
2222,Marko,Nõmm,marko.nomm@telia.ee,+372 5675 4687,Tallinn,2021-03-02,,1977
2223,Meelis,Kivi,,+372 5842 0762,Tartu,2022-06-11,,1973
2224,Raivo,Kuusk,raivo.kuusk@hot.ee,+372 5345 7078,Pärnu,2025-01-01,bronze,1966
2225,Meelis,Tamm,meelis.tamm@yahoo.com,+372 8166 7146,Tallinn,2023-07-10,gold,1966
2226,Olev,Arro,olev.arro@hot.ee,+372 8372 5804,Jõhvi,2022-10-22,silver,1968
2227,Mihkel,Rosin,mihkel.rosin@yahoo.com,+372 5230 7791,Narva,2022-05-14,silver,1963
2228,Mart,Lõhmus,mart.lohmus@hot.ee,+372 5182 8870,Narva,2021-01-05,gold,2000
2229,Liis,Liiv,liis.liiv@hot.ee,+372 5164 0776,Tallinn,2024-12-11,bronze,2000
2230,Jüri,Veski,juri.veski@mail.ee,+372 8818 7000,Tallinn,2021-06-01,gold,1992
2231,Enn,Raid,enn.raid@gmail.com,+372 5204 4064,Tallinn,2021-10-10,gold,1978
2232,Olev,Talvik,olev.talvik@hot.ee,+372 5558 3236,Tallinn,2023-07-08,silver,1997
2233,Andres,Laas,andres.laas@gmail.com,+372 5730 0044,Tallinn,2022-01-03,,1968
2234,Tiit,Tammik,,+372 5886 0644,Tallinn,2023-12-09,bronze,1995
2235,Kristi,Nõmm,kristi.nomm@gmail.com,+372 5501 0047,Narva,2021-03-13,,1984
2236,Rasmus,Veski,rasmus.veski@gmail.com,+372 5443 6730,Paide,2020-05-20,gold,1962
2237,Madis,Kangur,madis.kangur@mail.ee,+372 5895 1338,Narva,2024-02-01,bronze,2003
2238,Tõnu,Kull,tonu.kull@gmail.com,+372 5568 0772,Rakvere,2021-09-01,gold,1996
2239,Sander,Ilves,sander.ilves@gmail.com,+372 8409 0099,Tallinn,2022-11-20,,2004
2240,Urmas,Lass,urmas.lass@outlook.com,+372 5838 5175,Tallinn,2020-05-09,,1983
2241,Lea,Mets,lea.mets@telia.ee,+372 8540 8965,Pärnu,2020-02-08,,1974
2242,Ene,Kull,ene.kull@hot.ee,+372 5175 0547,Tartu,2022-11-27,,1973
2243,Anna,Veski,anna.veski@yahoo.com,+372 5631 7331,Pärnu,2020-09-16,gold,1971
2244,Aivar,Ilves,aivar.ilves@gmail.com,+372 8651 7331,Rakvere,2021-06-08,gold,1982
2245,Kevin,Liiv,kevin.liiv@yahoo.com,+372 5865 2530,Tallinn,2023-08-04,,1966
2246,Kadri,Nurk,kadri.nurk@gmail.com,+372 5307 3375,Paide,2023-04-05,silver,2004
2247,Külli,Pihl,kulli.pihl@hot.ee,+372 5108 9802,Jõhvi,2020-01-22,silver,1976
2248,Kristiina,Lill,kristiina.lill@mail.ee,+372 5309 5636,Tallinn,2021-03-10,,1984
2249,Ago,Koppel,ago.koppel@yahoo.com,+372 5606 9047,Tallinn,2024-09-13,gold,1969
2250,Heino,Kivi,heino.kivi@telia.ee,+372 8618 3955,Kuressaare,2023-05-11,,1981
2251,Rein,Orav,rein.orav@gmail.com,+372 5968 9149,Tallinn,2022-05-14,gold,2004
2252,Reet,Laas,reet.laas@outlook.com,+372 8268 7935,Tallinn,2020-01-11,,1965
2253,Kati,Luik,kati.luik@telia.ee,+372 8507 3805,Tallinn,2022-02-18,silver,1976
2254,Kristjan,Roots,kristjan.roots@telia.ee,+372 5779 0221,Tallinn,2023-06-12,,1982
2255,Nele,Rebane,nele.rebane@yahoo.com,+372 5149 6896,Tallinn,2021-10-27,,1983
2256,Urmas,Põld,urmas.pold@mail.ee,+372 5992 2667,Pärnu,2021-03-28,bronze,1989
2257,Katrin,Järv,katrin.jarv@mail.ee,+372 5841 4496,Tartu,2020-03-05,,1965
2258,Enn,Saar,enn.saar@telia.ee,+372 5994 5656,Tartu,2023-02-28,,1993
2259,Margus,Laas,margus.laas@telia.ee,+372 5590 2282,Pärnu,2020-12-29,,1974
2260,Karin,Org,karin.org@outlook.com,+372 5762 1015,Tallinn,2022-04-30,bronze,1963
2261,Kristjan,Rand,kristjan.rand@outlook.com,+372 5693 9485,Tallinn,2022-10-09,silver,1999
2262,Mart,Lõoke,mart.looke@mail.ee,+372 5242 2875,Tallinn,2023-01-15,,2003
2263,Kevin,Arro,kevin.arro@outlook.com,+372 8852 9751,Tartu,2025-02-05,bronze,1981
2264,Katrin,Laas,katrin.laas@yahoo.com,+372 5473 7157,Pärnu,2023-02-24,,1963
2265,Sander,Mägi,sander.magi@hot.ee,+372 5781 1599,Pärnu,2020-04-02,silver,1969
2266,Toomas,Kivi,toomas.kivi@telia.ee,+372 5297 6477,Pärnu,2023-08-24,bronze,1988
2267,Terje,Tamm,terje.tamm@gmail.com,+372 5912 7609,Tartu,2021-04-01,gold,1977
2268,Ene,Veski,ene.veski@hot.ee,+372 5613 6680,Tallinn,2024-06-24,bronze,1975
2269,Merle,Mets,merle.mets@outlook.com,+372 5997 6055,Jõhvi,2022-08-11,gold,1963
2270,Hille,Sepp,hille.sepp@outlook.com,+372 8807 9904,Tallinn,2022-03-16,silver,2004
2271,Liis,Põld,liis.pold@hot.ee,+372 5103 8596,Pärnu,2024-05-24,bronze,1990
